item_code,uom,display_name,display_name_proposed,changed
HOS-CON-ADA-PI7-320#,PCS,PI7 Hose Connector,PI7 Hose Connector,no
MET-WAT-ADA-BR,PCS,"Br Water Meter Adapter (thick) 3/4""X1/2","Br Water Meter Adapter (thick) 3/4""X1/2",no
PAI-BRU-086-75MM,DOZ,086 Cs Nylon Paint Brush 3,086 Cs Nylon Paint Brush 3,no
"PIP-PVC-3/4""",LTH,"3/4""(26MM) Bs X 6M PVC Pipe","3/4""(26MM) Bs X 6M PVC Pipe",no
PYE-FIL-L-CRACK-1KG,TIN,PYE Filla L-crack 1KG,PYE Filla L-crack 1KG,no
RIG-HOO-ALL-4.5TON,PCS,Alloy Hook 4.5TON,Alloy Hook 4.5TON,no
SAF-SHO-SOB-10#,PAIR,Sobar P800 Safety Shoes 10,Sobar P800 Safety Shoes 10,no
SHH-HOOK-406-NO.4,PKT,Saki Sepit Biru 406 No. 4 (20'S),Saki Sepit Biru 406 No. 4 (20'S),no
SHH-HOOK-45708-NO.7,PKT,2908 No. 2 Eupro Prawn Hook (15'S),2908 No. 2 Eupro Prawn Hook (15'S),no
SHH-HOOK-45708-NO.9,PKT,2908 No. 4 Eupro Prawn Hook (15'S),2908 No. 4 Eupro Prawn Hook (15'S),no
SHH-REEL-1188S120,PCS,"1188 Sin Udang Galah TRANSPARENT120(4'0"")PRAWN Rod (6+1)","1188 Sin Udang Galah TRANSPARENT120(4'0"")PRAWN Rod (6+1)",no
SHH-SINKER-NO.8,PCS,Single Head Sinker No. 8 (1PC/PCK),Single Head Sinker No. 8 (1PC/PCK),no
SWI-SOC-ULT-M073W,PCS,Ultra 1 GANG Tel Outlet (RJ11)-WHITE (M073W),Ultra 1 GANG Tel Outlet (RJ11)-WHITE (M073W),no
TAP-BIB-JOPBC01W,PCS,Jopex BIBTAP-BC01W 15MM,Jopex BIBTAP-BC01W 15MM,no
TOO-WRE-BAS-ABT11,PCS,Abt Basin WRENCH-11,Abt Basin WRENCH-11,no
